support,itemsets
0.01539250897896357,Instant food products
0.07850179579271421,UHT-milk
0.0310415597742432,baking powder
0.11954848640328374,beef
0.0797845048742945,berries
0.0620831195484864,beverages
0.15879938429964083,bottled beer
0.21369933299127758,bottled water
0.13596716264751155,brown bread
0.12647511544381734,butter
0.06490507952796305,butter milk
0.022832221652129298,cake bar
0.01693175987685993,candles
0.053873781426372495,candy
0.16521292970754234,canned beer
0.029502308876346844,canned fish
0.02052334530528476,canned vegetables
0.04386865059004618,cat food
0.0107747562852745,cereals
0.044638276038994354,chewing gum
0.10056439199589533,chicken
0.08645459209851206,chocolate
0.01539250897896357,chocolate marshmallow
0.18547973319651104,citrus fruit
0.018727552591072345,cling film/bags
0.11493073370959467,coffee
0.023858388917393534,condensed milk
0.08850692662904053,cream cheese 
0.12083119548486403,curd
0.011800923550538737,curd cheese
0.08645459209851206,dessert
0.03258081067213956,detergent
0.018727552591072345,dish cleaner
0.034120061570035914,dishes
0.01718830169317599,dog food
0.1331452026680349,domestic eggs
0.01026167265264238,female sanitary products
0.016418676244227808,finished products
0.03642893791688045,flour
0.01718830169317599,flower (seeds)
0.1375064135454079,frankfurter
0.023088763468445357,frozen dessert
0.025910723447922012,frozen fish
0.06285274499743458,frozen meals
0.018471010774756286,frozen potato products
0.10261672652642381,frozen vegetables
0.12493586454592098,fruit/vegetable juice
0.05489994869163674,grapes
0.0633658286300667,ham
0.08029758850692663,hamburger meat
0.05336069779374038,hard cheese
0.039250897896357106,herbs
0.011544381734222679,house keeping products
0.05233453052847614,hygiene articles
0.05643919958953309,ice cream
0.015135967162647512,instant coffee
0.02642380708055413,liquor
0.01718830169317599,liquor (appetizer)
0.012314007183170857,liver loaf
0.06541816316059518,long life bakery product
0.11698306824012314,margarine
0.018984094407388404,mayonnaise
0.06362237044638276,meat
0.05900461775269369,misc. beverages
0.023345305284761416,mustard
0.08132375577219086,napkins
0.13981528989225245,newspapers
0.05566957414058492,oil
0.07619291944586967,onions
0.3766033863519754,other vegetables
0.03181118522319138,packaged fruit/vegetables
0.030271934325295024,pasta
0.1775269368907132,pastry
0.02180605438686506,pet care
0.019753719856336584,photo/film
0.033350436121087734,pickled vegetables
0.17060030785017957,pip fruit
0.012057465366854798,popcorn
0.13237557721908672,pork
0.029758850692662903,pot plants
0.038481272447408926,processed cheese
0.039763981528989224,red/blush wine
0.012570548999486916,rice
0.02052334530528476,roll products 
0.3496664956387891,rolls/buns
0.23063109286813752,root vegetables
0.022832221652129298,salt
0.06926629040533606,salty snack
0.011287839917906618,sauces
0.2060030785017958,sausage
0.025910723447922012,seasonal products
0.03617239610056439,semi-finished bread
0.16829143150333503,shopping bags
0.051821446895844024,sliced cheese
0.3134940995382247,soda
0.037711646998460746,soft cheese
0.01051821446895844,softener
0.012314007183170857,soups
0.011800923550538737,sparkling wine
0.052591072344792204,specialty bar
0.018214468958440224,specialty cheese
0.05849153412006157,specialty chocolate
0.010005130836326322,spices
0.025141097998973832,spread cheese
0.0659312467932273,sugar
0.017444843509492047,sweet spreads
0.2337095946639302,tropical fruit
0.020010261672652643,turkey
0.012827090815802977,vinegar
0.06900974858902001,waffles
0.15469471523858389,whipped/sour cream
0.0887634684453566,white bread
0.044125192406362236,white wine
0.4581836839404823,whole milk
0.28296562339661363,yogurt
0.01539250897896357,zwieback
0.01051821446895844,"UHT-milk, beef"
0.014879425346331451,"UHT-milk, bottled beer"
0.02129297075423294,"UHT-milk, bottled water"
0.012314007183170857,"UHT-milk, brown bread"
0.01051821446895844,"UHT-milk, butter"
0.014879425346331451,"UHT-milk, canned beer"
0.01051821446895844,"chicken, UHT-milk"
0.013083632632119035,"citrus fruit, UHT-milk"
0.012827090815802977,"UHT-milk, coffee"
0.01051821446895844,"UHT-milk, cream cheese "
0.013596716264751155,"UHT-milk, curd"
0.013083632632119035,"UHT-milk, domestic eggs"
0.015135967162647512,"UHT-milk, frankfurter"
0.011287839917906618,"UHT-milk, frozen vegetables"
0.011287839917906618,"UHT-milk, fruit/vegetable juice"
0.011800923550538737,"UHT-milk, margarine"
0.0107747562852745,"UHT-milk, newspapers"
