support,itemsets
0.01539250897896357,Instant food products
0.01693175987685993,candles
0.0107747562852745,cereals
0.01539250897896357,chocolate marshmallow
0.018727552591072345,cling film/bags
0.011800923550538737,curd cheese
0.01026167265264238,female sanitary products
0.016418676244227808,finished products
0.01718830169317599,flower (seeds)
0.018471010774756286,frozen potato products
0.011544381734222679,house keeping products
0.015135967162647512,instant coffee
0.01718830169317599,liquor (appetizer)
0.012314007183170857,liver loaf
0.018984094407388404,mayonnaise
0.019753719856336584,photo/film
0.012057465366854798,popcorn
0.012570548999486916,rice
0.02052334530528476,roll products 
0.011287839917906618,sauces
0.01051821446895844,softener
0.012314007183170857,soups
0.011800923550538737,sparkling wine
0.018214468958440224,specialty cheese
0.010005130836326322,spices
0.017444843509492047,sweet spreads
0.020010261672652643,turkey
0.012827090815802977,vinegar
0.01539250897896357,zwieback
0.01051821446895844,"UHT-milk, beef"
0.014879425346331451,"UHT-milk, bottled beer"
0.012314007183170857,"UHT-milk, brown bread"
0.01051821446895844,"UHT-milk, butter"
0.014879425346331451,"UHT-milk, canned beer"
0.01051821446895844,"chicken, UHT-milk"
0.013083632632119035,"citrus fruit, UHT-milk"
0.012827090815802977,"UHT-milk, coffee"
0.01051821446895844,"UHT-milk, cream cheese "
0.013596716264751155,"UHT-milk, curd"
0.013083632632119035,"UHT-milk, domestic eggs"
0.015135967162647512,"UHT-milk, frankfurter"
0.011287839917906618,"UHT-milk, frozen vegetables"
0.011287839917906618,"UHT-milk, fruit/vegetable juice"
0.011800923550538737,"UHT-milk, margarine"
0.0107747562852745,"UHT-milk, newspapers"
0.014366341713699333,"UHT-milk, pastry"
0.0107747562852745,"UHT-milk, pork"
0.016675218060543867,"UHT-milk, shopping bags"
0.013853258081067214,"UHT-milk, whipped/sour cream"
0.015135967162647512,"baking powder, other vegetables"
0.012314007183170857,"rolls/buns, baking powder"
0.012314007183170857,"soda, baking powder"
0.015135967162647512,"whole milk, baking powder"
0.011800923550538737,"yogurt, baking powder"
0.011287839917906618,"berries, beef"
0.018984094407388404,"brown bread, beef"
0.0107747562852745,"beef, butter milk"
0.011544381734222679,"chicken, beef"
0.014622883530015392,"chocolate, beef"
0.013340174448435094,"beef, coffee"
0.016418676244227808,"beef, domestic eggs"
0.01564905079527963,"frozen vegetables, beef"
0.011031298101590559,"beef, hamburger meat"
0.01590559261159569,"beef, margarine"
0.010005130836326322,"beef, napkins"
0.018214468958440224,"beef, pork"
0.0107747562852745,"waffles, beef"
0.012570548999486916,"beef, white bread"
0.016675218060543867,"berries, bottled beer"
0.011031298101590559,"berries, brown bread"
0.01051821446895844,"berries, butter"
0.013853258081067214,"berries, canned beer"
0.014879425346331451,"berries, citrus fruit"
0.0107747562852745,"berries, coffee"
0.01026167265264238,"berries, curd"
0.013083632632119035,"berries, domestic eggs"
0.011031298101590559,"berries, frankfurter"
0.010005130836326322,"berries, frozen vegetables"
0.01564905079527963,"berries, fruit/vegetable juice"
0.013340174448435094,"berries, newspapers"
0.018214468958440224,"berries, pastry"
0.012827090815802977,"berries, pork"
0.01616213442791175,"berries, whipped/sour cream"
0.010005130836326322,"beverages, bottled beer"
0.014622883530015392,"beverages, bottled water"
0.011800923550538737,"brown bread, beverages"
0.011031298101590559,"canned beer, beverages"
0.01051821446895844,"citrus fruit, beverages"
0.01026167265264238,"beverages, curd"
0.0107747562852745,"beverages, newspapers"
0.011800923550538737,"beverages, pastry"
0.012827090815802977,"beverages, pip fruit"
0.010005130836326322,"beverages, pork"
0.01693175987685993,"beverages, root vegetables"
0.015135967162647512,"beverages, sausage"
0.011031298101590559,"beverages, shopping bags"
0.01718830169317599,"tropical fruit, beverages"
0.012827090815802977,"beverages, whipped/sour cream"
0.01051821446895844,"white bread, beverages"
0.010005130836326322,"bottled beer, butter milk"
0.011287839917906618,"candy, bottled beer"
0.01026167265264238,"cat food, bottled beer"
0.01693175987685993,"chicken, bottled beer"
0.01539250897896357,"dessert, bottled beer"
0.011544381734222679,"frozen meals, bottled beer"
0.0107747562852745,"grapes, bottled beer"
0.014879425346331451,"ham, bottled beer"
0.017444843509492047,"hamburger meat, bottled beer"
0.011031298101590559,"bottled beer, hygiene articles"
0.0107747562852745,"ice cream, bottled beer"
0.012570548999486916,"long life bakery product, bottled beer"
0.01026167265264238,"meat, bottled beer"
0.011800923550538737,"misc. beverages, bottled beer"
0.013340174448435094,"napkins, bottled beer"
0.012057465366854798,"oil, bottled beer"
0.014879425346331451,"onions, bottled beer"
0.013083632632119035,"salty snack, bottled beer"
0.011031298101590559,"specialty chocolate, bottled beer"
0.01026167265264238,"sugar, bottled beer"
0.01616213442791175,"waffles, bottled beer"
0.016675218060543867,"white bread, bottled beer"
0.016675218060543867,"bottled water, butter milk"
0.012057465366854798,"candy, bottled water"
0.010005130836326322,"chewing gum, bottled water"
0.01026167265264238,"bottled water, flour"
0.01539250897896357,"frozen meals, bottled water"
0.012827090815802977,"bottled water, grapes"
0.014109799897383273,"hard cheese, bottled water"
0.012314007183170857,"bottled water, hygiene articles"
0.01590559261159569,"ice cream, bottled water"
0.013853258081067214,"long life bakery product, bottled water"
0.011800923550538737,"bottled water, misc. beverages"
0.013596716264751155,"oil, bottled water"
0.01564905079527963,"onions, bottled water"
0.011800923550538737,"processed cheese, bottled water"
0.014109799897383273,"bottled water, salty snack"
0.012314007183170857,"sliced cheese, bottled water"
0.014622883530015392,"bottled water, specialty bar"
0.017444843509492047,"brown bread, butter"
0.01539250897896357,"chicken, brown bread"
0.013596716264751155,"chocolate, brown bread"
0.014366341713699333,"brown bread, cream cheese "
0.017444843509492047,"brown bread, dessert"
0.011031298101590559,"brown bread, frozen meals"
0.016418676244227808,"brown bread, frozen vegetables"
0.01051821446895844,"brown bread, grapes"
0.0107747562852745,"brown bread, ham"
0.011031298101590559,"brown bread, hamburger meat"
0.01590559261159569,"brown bread, margarine"
0.011287839917906618,"brown bread, meat"
0.01051821446895844,"brown bread, misc. beverages"
0.0107747562852745,"brown bread, napkins"
0.012057465366854798,"brown bread, onions"
0.012057465366854798,"brown bread, salty snack"
0.01026167265264238,"brown bread, waffles"
0.01616213442791175,"brown bread, white bread"
0.010005130836326322,"butter, butter milk"
0.012057465366854798,"chocolate, butter"
0.011031298101590559,"dessert, butter"
0.016418676244227808,"butter, domestic eggs"
0.012827090815802977,"frozen vegetables, butter"
0.010005130836326322,"ham, butter"
0.01051821446895844,"ice cream, butter"
0.0107747562852745,"meat, butter"
0.011287839917906618,"napkins, butter"
0.01051821446895844,"onions, butter"
0.016418676244227808,"butter, pork"
0.012570548999486916,"salty snack, butter"
0.013340174448435094,"white bread, butter"
0.011800923550538737,"canned beer, butter milk"
0.011800923550538737,"citrus fruit, butter milk"
0.011287839917906618,"domestic eggs, butter milk"
0.010005130836326322,"frankfurter, butter milk"
0.013853258081067214,"pastry, butter milk"
0.01693175987685993,"root vegetables, butter milk"
0.012314007183170857,"sausage, butter milk"
0.015135967162647512,"shopping bags, butter milk"
0.01564905079527963,"tropical fruit, butter milk"
0.011544381734222679,"whipped/sour cream, butter milk"
0.012314007183170857,"whole milk, cake bar"
0.012057465366854798,"canned beer, candy"
0.013853258081067214,"citrus fruit, candy"
0.011031298101590559,"candy, pastry"
0.012570548999486916,"candy, pip fruit"
0.013853258081067214,"candy, root vegetables"
0.012827090815802977,"candy, sausage"
0.0107747562852745,"candy, shopping bags"
0.01616213442791175,"candy, tropical fruit"
