support,itemsets
0.01539250897896357,Instant food products
0.01693175987685993,candles
0.0107747562852745,cereals
0.01539250897896357,chocolate marshmallow
0.018727552591072345,cling film/bags
0.011800923550538737,curd cheese
0.01026167265264238,female sanitary products
0.016418676244227808,finished products
0.01718830169317599,flower (seeds)
0.018471010774756286,frozen potato products
0.011544381734222679,house keeping products
0.015135967162647512,instant coffee
0.01718830169317599,liquor (appetizer)
0.012314007183170857,liver loaf
0.018984094407388404,mayonnaise
0.019753719856336584,photo/film
0.012057465366854798,popcorn
0.012570548999486916,rice
0.02052334530528476,roll products 
0.011287839917906618,sauces
0.01051821446895844,softener
0.012314007183170857,soups
0.011800923550538737,sparkling wine
0.018214468958440224,specialty cheese
0.010005130836326322,spices
0.017444843509492047,sweet spreads
0.020010261672652643,turkey
0.012827090815802977,vinegar
0.01539250897896357,zwieback
0.01051821446895844,"beef, UHT-milk"
0.014879425346331451,"bottled beer, UHT-milk"
0.012314007183170857,"brown bread, UHT-milk"
0.01051821446895844,"UHT-milk, butter"
0.014879425346331451,"UHT-milk, canned beer"
0.01051821446895844,"UHT-milk, chicken"
0.013083632632119035,"UHT-milk, citrus fruit"
0.012827090815802977,"coffee, UHT-milk"
0.01051821446895844,"UHT-milk, cream cheese "
0.013596716264751155,"UHT-milk, curd"
0.013083632632119035,"UHT-milk, domestic eggs"
0.015135967162647512,"UHT-milk, frankfurter"
0.011287839917906618,"UHT-milk, frozen vegetables"
0.011287839917906618,"fruit/vegetable juice, UHT-milk"
0.011800923550538737,"UHT-milk, margarine"
0.0107747562852745,"newspapers, UHT-milk"
0.014366341713699333,"UHT-milk, pastry"
0.0107747562852745,"UHT-milk, pork"
0.016675218060543867,"UHT-milk, shopping bags"
0.013853258081067214,"UHT-milk, whipped/sour cream"
0.015135967162647512,"baking powder, other vegetables"
0.012314007183170857,"baking powder, rolls/buns"
0.012314007183170857,"soda, baking powder"
0.015135967162647512,"whole milk, baking powder"
0.011800923550538737,"yogurt, baking powder"
0.011287839917906618,"berries, beef"
0.018984094407388404,"brown bread, beef"
0.0107747562852745,"beef, butter milk"
0.011544381734222679,"beef, chicken"
0.014622883530015392,"beef, chocolate"
0.013340174448435094,"coffee, beef"
0.016418676244227808,"beef, domestic eggs"
0.01564905079527963,"beef, frozen vegetables"
0.011031298101590559,"beef, hamburger meat"
0.01590559261159569,"beef, margarine"
0.010005130836326322,"beef, napkins"
0.018214468958440224,"beef, pork"
0.0107747562852745,"beef, waffles"
0.012570548999486916,"beef, white bread"
0.016675218060543867,"bottled beer, berries"
0.011031298101590559,"brown bread, berries"
0.01051821446895844,"berries, butter"
0.013853258081067214,"berries, canned beer"
0.014879425346331451,"berries, citrus fruit"
0.0107747562852745,"coffee, berries"
0.01026167265264238,"berries, curd"
0.013083632632119035,"berries, domestic eggs"
0.011031298101590559,"berries, frankfurter"
0.010005130836326322,"berries, frozen vegetables"
0.01564905079527963,"berries, fruit/vegetable juice"
0.013340174448435094,"newspapers, berries"
0.018214468958440224,"berries, pastry"
0.012827090815802977,"berries, pork"
0.01616213442791175,"berries, whipped/sour cream"
0.010005130836326322,"bottled beer, beverages"
0.014622883530015392,"bottled water, beverages"
0.011800923550538737,"brown bread, beverages"
0.011031298101590559,"canned beer, beverages"
0.01051821446895844,"beverages, citrus fruit"
0.01026167265264238,"curd, beverages"
0.0107747562852745,"newspapers, beverages"
0.011800923550538737,"beverages, pastry"
0.012827090815802977,"beverages, pip fruit"
0.010005130836326322,"beverages, pork"
0.01693175987685993,"root vegetables, beverages"
0.015135967162647512,"sausage, beverages"
0.011031298101590559,"shopping bags, beverages"
0.01718830169317599,"beverages, tropical fruit"
0.012827090815802977,"beverages, whipped/sour cream"
0.01051821446895844,"white bread, beverages"
0.010005130836326322,"bottled beer, butter milk"
0.011287839917906618,"bottled beer, candy"
0.01026167265264238,"bottled beer, cat food"
0.01693175987685993,"bottled beer, chicken"
0.01539250897896357,"bottled beer, dessert"
0.011544381734222679,"bottled beer, frozen meals"
0.0107747562852745,"grapes, bottled beer"
0.014879425346331451,"bottled beer, ham"
0.017444843509492047,"bottled beer, hamburger meat"
0.011031298101590559,"bottled beer, hygiene articles"
0.0107747562852745,"bottled beer, ice cream"
0.012570548999486916,"bottled beer, long life bakery product"
0.01026167265264238,"bottled beer, meat"
0.011800923550538737,"bottled beer, misc. beverages"
0.013340174448435094,"bottled beer, napkins"
0.012057465366854798,"oil, bottled beer"
0.014879425346331451,"bottled beer, onions"
0.013083632632119035,"bottled beer, salty snack"
0.011031298101590559,"specialty chocolate, bottled beer"
0.01026167265264238,"bottled beer, sugar"
0.01616213442791175,"bottled beer, waffles"
0.016675218060543867,"bottled beer, white bread"
0.016675218060543867,"butter milk, bottled water"
0.012057465366854798,"bottled water, candy"
0.010005130836326322,"chewing gum, bottled water"
0.01026167265264238,"flour, bottled water"
0.01539250897896357,"bottled water, frozen meals"
0.012827090815802977,"grapes, bottled water"
0.014109799897383273,"hard cheese, bottled water"
0.012314007183170857,"bottled water, hygiene articles"
0.01590559261159569,"bottled water, ice cream"
0.013853258081067214,"bottled water, long life bakery product"
0.011800923550538737,"bottled water, misc. beverages"
0.013596716264751155,"oil, bottled water"
0.01564905079527963,"bottled water, onions"
0.011800923550538737,"bottled water, processed cheese"
0.014109799897383273,"bottled water, salty snack"
0.012314007183170857,"bottled water, sliced cheese"
0.014622883530015392,"bottled water, specialty bar"
0.017444843509492047,"brown bread, butter"
0.01539250897896357,"brown bread, chicken"
0.013596716264751155,"brown bread, chocolate"
0.014366341713699333,"brown bread, cream cheese "
0.017444843509492047,"brown bread, dessert"
0.011031298101590559,"brown bread, frozen meals"
0.016418676244227808,"brown bread, frozen vegetables"
0.01051821446895844,"grapes, brown bread"
0.0107747562852745,"brown bread, ham"
0.011031298101590559,"brown bread, hamburger meat"
0.01590559261159569,"brown bread, margarine"
0.011287839917906618,"brown bread, meat"
0.01051821446895844,"brown bread, misc. beverages"
0.0107747562852745,"brown bread, napkins"
0.012057465366854798,"brown bread, onions"
0.012057465366854798,"brown bread, salty snack"
0.01026167265264238,"brown bread, waffles"
0.01616213442791175,"brown bread, white bread"
0.010005130836326322,"butter milk, butter"
0.012057465366854798,"butter, chocolate"
0.011031298101590559,"butter, dessert"
0.016418676244227808,"butter, domestic eggs"
0.012827090815802977,"butter, frozen vegetables"
0.010005130836326322,"butter, ham"
0.01051821446895844,"butter, ice cream"
0.0107747562852745,"butter, meat"
0.011287839917906618,"butter, napkins"
0.01051821446895844,"butter, onions"
0.016418676244227808,"butter, pork"
0.012570548999486916,"butter, salty snack"
0.013340174448435094,"butter, white bread"
0.011800923550538737,"butter milk, canned beer"
0.011800923550538737,"butter milk, citrus fruit"
0.011287839917906618,"butter milk, domestic eggs"
0.010005130836326322,"butter milk, frankfurter"
0.013853258081067214,"butter milk, pastry"
0.01693175987685993,"butter milk, root vegetables"
0.012314007183170857,"sausage, butter milk"
0.015135967162647512,"butter milk, shopping bags"
0.01564905079527963,"butter milk, tropical fruit"
0.011544381734222679,"butter milk, whipped/sour cream"
0.012314007183170857,"whole milk, cake bar"
0.012057465366854798,"candy, canned beer"
0.013853258081067214,"candy, citrus fruit"
0.011031298101590559,"candy, pastry"
0.012570548999486916,"candy, pip fruit"
0.013853258081067214,"root vegetables, candy"
0.012827090815802977,"sausage, candy"
0.0107747562852745,"candy, shopping bags"
0.01616213442791175,"candy, tropical fruit"
